,Trip_Duration,End_Date,End_Time
0,52.98,2021-04-30,14:58:26
1,52.2,2021-04-30,15:07:43
2,54.5,2021-04-30,15:35:57
3,51.05,2021-04-30,15:35:22
4,39.73,2021-04-30,15:43:16
5,52.4,2021-04-30,16:08:06
6,54.37,2021-04-30,16:20:33
7,49.33,2021-04-30,16:23:56
8,55.7,2021-04-30,16:39:35
9,50.35,2021-04-30,16:48:55
10,58.5,2021-04-30,17:10:05
11,49.67,2021-04-30,17:10:06
12,46.43,2021-04-30,17:15:01
13,54.33,2021-04-30,17:33:12
14,44.65,2021-04-30,17:36:59
15,54.55,2021-04-30,17:58:30
16,40.22,2021-04-30,17:50:26
17,41.52,2021-04-30,17:57:02
18,52.92,2021-04-30,18:17:35
19,41.27,2021-04-30,18:16:14
20,46.12,2021-04-30,18:26:48
21,48.62,2021-04-30,18:49:18
22,49.12,2021-04-30,19:03:52
23,52.3,2021-04-30,19:29:40
24,45.72,2021-04-30,19:13:58
25,48.5,2021-04-30,19:36:46
26,56.8,2021-04-30,19:58:35
27,54.38,2021-04-30,19:52:02
28,49.48,2021-04-30,19:51:40
29,45.77,2021-04-30,20:08:56
30,59.38,2021-04-30,20:29:42
31,61.75,2021-04-30,20:39:44
32,64.17,2021-04-30,20:52:21
33,64.7,2021-04-30,21:16:07
34,56.62,2021-04-30,21:03:38
35,62.48,2021-04-30,21:25:34
36,53.05,2021-04-30,21:30:25
37,67.25,2021-04-30,21:54:43
38,47.9,2021-04-30,21:40:58
39,48.68,2021-04-30,21:56:53
40,61.15,2021-04-30,21:58:54
41,48.4,2021-04-30,22:02:56
42,45.53,2021-04-30,22:15:33
43,47.05,2021-04-30,22:12:10
44,35.32,2021-04-30,22:23:20
45,38.38,2021-04-30,22:36:21
46,60.97,2021-04-30,22:51:15
47,41.73,2021-04-30,22:52:53
48,42.58,2021-04-30,23:12:03
49,50.88,2021-04-30,23:36:59
50,40.08,2021-04-30,23:17:28
51,51.35,2021-04-30,23:44:27
52,58.2,2021-04-30,23:59:39
53,49.42,2021-05-01,00:00:38
54,48.48,2021-05-01,00:11:48
55,48.23,2021-05-01,00:22:52
56,42.78,2021-05-01,00:28:47
57,41.77,2021-05-01,00:41:19
58,43.6,2021-05-01,00:55:26
59,45.08,2021-05-01,01:22:51
60,45.45,2021-05-01,01:34:18
61,36.95,2021-05-01,01:40:17
62,50.75,2021-05-01,02:03:48
63,51.52,2021-05-01,02:13:58
64,53.33,2021-05-01,02:29:46
65,40.57,2021-05-01,02:24:51
66,51.97,2021-05-01,02:50:03
67,50.75,2021-05-01,03:19:27
68,47.6,2021-05-01,03:39:02
69,38.82,2021-05-01,03:42:12
70,56.8,2021-05-01,04:16:34
71,52.12,2021-05-01,04:41:58
72,54.03,2021-05-01,14:47:53
73,53.07,2021-05-01,15:14:58
74,40.2,2021-05-01,14:54:47
75,65.78,2021-05-01,15:45:46
76,55.28,2021-05-01,15:46:33
77,53.22,2021-05-01,16:00:38
78,54.88,2021-05-01,16:20:22
79,54.52,2021-05-01,16:31:44
80,58.72,2021-05-01,16:44:58
81,47.03,2021-05-01,16:57:58
82,53.42,2021-05-01,17:17:33
83,63.9,2021-05-01,17:50:08
84,56.17,2021-05-01,18:01:31
85,59.73,2021-05-01,18:26:53
86,44.52,2021-05-01,18:01:56
87,57.65,2021-05-01,18:43:16
88,53.37,2021-05-01,18:49:24
89,53.55,2021-05-01,19:18:28
90,57.08,2021-05-01,19:16:47
91,58.43,2021-05-01,19:32:37
92,60.6,2021-05-01,19:46:39
93,48.37,2021-05-01,19:43:22
94,59.8,2021-05-01,20:02:00
95,53.07,2021-05-01,20:10:54
96,53.72,2021-05-01,20:21:58
97,47.12,2021-05-01,20:24:17
98,55.7,2021-05-01,20:40:14
99,69.17,2021-05-01,21:03:32
100,40.48,2021-05-01,20:41:19
101,52.7,2021-05-01,21:08:06
102,68.73,2021-05-01,21:34:38
103,52.85,2021-05-01,21:28:47
104,67.27,2021-05-01,21:52:01
105,62.07,2021-05-01,22:01:25
106,53.33,2021-05-01,22:01:40
107,50.9,2021-05-01,22:12:57
108,43.35,2021-05-01,22:13:00
109,29.92,2021-05-01,22:12:41
110,20.87,2021-05-01,22:13:17
111,55.08,2021-05-02,00:25:56
112,59.12,2021-05-02,00:38:49
113,49.08,2021-05-02,00:47:13
114,42.52,2021-05-02,00:57:35
115,53.3,2021-05-02,01:18:48
116,56.05,2021-05-02,01:53:02
117,41.25,2021-05-02,01:23:55
118,35.17,2021-05-02,01:49:15
119,56.07,2021-05-02,02:24:19
120,52.43,2021-05-02,02:32:57
121,50.02,2021-05-02,02:46:36
122,39.23,2021-05-02,02:51:32
123,45.73,2021-05-02,03:10:04
124,40.33,2021-05-02,03:38:31
125,56.33,2021-05-02,12:39:13
126,21.38,2021-05-02,12:46:02
127,56.53,2021-05-02,13:40:15
128,56.62,2021-05-02,13:58:24
129,43.85,2021-05-02,14:20:20
130,34.55,2021-05-02,14:02:30
131,48.28,2021-05-02,14:48:57
132,24.85,2021-05-02,14:47:55
133,57.42,2021-05-02,15:40:31
134,54.57,2021-05-02,15:55:50
135,51.92,2021-05-02,16:08:26
136,42.18,2021-05-02,16:13:22
137,52.78,2021-05-02,16:41:45
138,50.15,2021-05-02,16:47:54
139,38.25,2021-05-02,16:57:18
140,54.25,2021-05-02,17:40:54
141,43.13,2021-05-02,17:58:31
142,43.7,2021-05-02,17:53:20
143,42.33,2021-05-02,18:16:21
144,61.12,2021-05-02,18:46:03
145,46.88,2021-05-02,18:46:36
146,41.38,2021-05-02,18:55:14
147,57.13,2021-05-02,19:33:54
148,55.88,2021-05-02,19:46:14
149,52.93,2021-05-02,19:56:56
150,56.38,2021-05-02,20:08:04
151,45.67,2021-05-02,20:11:07
152,45.25,2021-05-02,20:22:45
153,40.87,2021-05-02,20:30:10
154,46.22,2021-05-02,20:45:27
155,44.53,2021-05-02,20:57:07
156,59.18,2021-05-02,21:34:43
157,41.5,2021-05-02,21:12:15
158,42.63,2021-05-02,21:31:57
159,54.07,2021-05-02,21:55:17
160,47.72,2021-05-02,22:01:54
161,48.68,2021-05-02,22:14:43
162,33.47,2021-05-02,22:13:35
163,44.75,2021-05-02,22:33:05
164,55.52,2021-05-02,22:54:58
165,48.78,2021-05-02,23:00:41
166,45.12,2021-05-02,23:08:33
167,52.43,2021-05-02,23:30:40
168,64.75,2021-05-02,23:52:42
169,49.58,2021-05-02,23:48:45
170,39.65,2021-05-02,23:55:42
171,59.83,2021-05-03,00:30:00
172,44.6,2021-05-03,00:43:02
173,49.12,2021-05-03,01:29:07
174,37.62,2021-05-03,01:43:26
175,50.78,2021-05-03,02:11:23
176,49.5,2021-05-03,02:29:53
177,39.88,2021-05-03,09:41:39
178,38.72,2021-05-03,09:57:14
179,52.42,2021-05-03,11:06:20
180,39.95,2021-05-03,11:03:25
181,47.4,2021-05-03,11:31:44
182,45.8,2021-05-03,11:44:20
183,50.93,2021-05-03,12:01:45
184,38.13,2021-05-03,11:50:01
185,44.68,2021-05-03,12:05:30
186,48.1,2021-05-03,12:12:13
187,48.18,2021-05-03,12:26:27
188,49.93,2021-05-03,12:57:29
189,47.53,2021-05-03,13:02:38
190,43.48,2021-05-03,13:08:03
191,47.17,2021-05-03,13:14:25
192,48.23,2021-05-03,13:26:12
193,47.6,2021-05-03,13:32:45
194,60.97,2021-05-03,13:47:59
195,46.13,2021-05-03,13:48:42
196,42.98,2021-05-03,13:56:56
197,51.27,2021-05-03,14:09:01
198,46.93,2021-05-03,14:12:04
199,49.77,2021-05-03,14:28:57
200,53.52,2021-05-03,14:57:33
201,43.92,2021-05-03,14:57:34
202,46.6,2021-05-03,15:15:47
203,50.72,2021-05-03,15:34:23
204,47.0,2021-05-03,15:39:54
205,55.28,2021-05-03,15:59:50
206,53.45,2021-05-03,16:08:33
207,59.35,2021-05-03,16:24:23
208,55.32,2021-05-03,16:30:21
209,55.1,2021-05-03,16:39:38
210,58.15,2021-05-03,16:57:33
211,53.5,2021-05-03,17:04:35
212,49.92,2021-05-03,17:06:46
213,46.77,2021-05-03,17:16:03
214,54.05,2021-05-03,17:34:38
215,53.5,2021-05-03,17:43:05
216,57.85,2021-05-03,17:57:26
217,55.85,2021-05-03,18:05:56
218,51.95,2021-05-03,18:17:18
219,51.67,2021-05-03,18:26:04
220,48.67,2021-05-03,18:30:00
221,52.27,2021-05-03,18:49:37
222,51.53,2021-05-03,19:04:02
223,46.0,2021-05-03,19:11:22
224,49.68,2021-05-03,19:27:01
225,55.27,2021-05-03,19:30:04
226,61.3,2021-05-03,19:47:27
227,64.25,2021-05-03,20:13:04
228,57.8,2021-05-03,19:53:06
229,46.07,2021-05-03,20:21:02
230,55.4,2021-05-03,20:16:32
231,62.88,2021-05-03,20:41:02
232,51.1,2021-05-03,20:58:43
233,56.02,2021-05-03,21:21:27
234,46.8,2021-05-03,21:41:51
235,62.28,2021-05-03,21:41:30
236,43.7,2021-05-03,21:37:47
237,71.03,2021-05-03,22:13:33
238,43.42,2021-05-03,21:45:51
239,48.25,2021-05-03,22:20:40
240,46.83,2021-05-03,22:11:11
241,64.82,2021-05-03,22:45:13
242,61.68,2021-05-03,23:07:09
243,66.27,2021-05-03,22:55:42
244,43.12,2021-05-03,22:41:16
245,68.17,2021-05-03,23:43:09
246,46.32,2021-05-03,23:12:50
247,53.08,2021-05-03,23:39:22
248,44.8,2021-05-03,23:46:03
249,44.8,2021-05-03,23:39:25
250,42.55,2021-05-03,23:52:46
251,52.57,2021-05-04,00:13:36
252,49.35,2021-05-04,00:23:38
253,41.85,2021-05-04,00:27:54
254,41.93,2021-05-04,00:41:07
255,50.73,2021-05-04,00:58:54
256,45.75,2021-05-04,01:28:13
257,48.03,2021-05-04,01:44:34
258,40.82,2021-05-04,01:50:04
259,50.57,2021-05-04,02:13:38
260,38.03,2021-05-04,02:24:15
261,51.7,2021-05-04,02:50:51
262,43.25,2021-05-04,03:11:44
263,42.05,2021-05-04,03:28:22
264,38.08,2021-05-04,03:42:01
265,43.65,2021-05-04,04:07:51
266,45.62,2021-05-04,04:29:45
267,31.93,2021-05-04,09:37:24
268,56.6,2021-05-04,10:45:42
269,44.02,2021-05-04,10:38:41
270,45.47,2021-05-04,10:53:32
271,41.58,2021-05-04,11:22:20
272,44.0,2021-05-04,11:42:25
273,36.57,2021-05-04,11:47:07
274,59.53,2021-05-04,12:13:32
275,60.92,2021-05-04,12:26:34
276,43.65,2021-05-04,12:18:07
277,50.32,2021-05-04,12:28:25
278,49.6,2021-05-04,12:43:40
279,48.2,2021-05-04,12:41:03
280,44.2,2021-05-04,12:46:59
281,49.58,2021-05-04,13:00:35
282,48.5,2021-05-04,13:17:03
283,55.27,2021-05-04,13:23:16
284,42.53,2021-05-04,13:09:57
285,47.53,2021-05-04,13:46:31
286,61.63,2021-05-04,14:17:50
287,44.75,2021-05-04,13:49:01
288,50.6,2021-05-04,14:11:08
289,50.45,2021-05-04,14:13:50
290,47.57,2021-05-04,14:28:05
291,43.32,2021-05-04,14:36:41
292,40.78,2021-05-04,14:46:46
293,48.68,2021-05-04,15:14:19
294,55.77,2021-05-04,15:37:59
295,45.43,2021-05-04,15:35:10
296,47.78,2021-05-04,15:53:13
297,40.2,2021-05-04,15:55:35
298,53.55,2021-05-04,16:19:58
299,43.42,2021-05-04,16:19:10
300,48.87,2021-05-04,16:32:56
301,46.88,2021-05-04,16:36:25
302,62.82,2021-05-04,17:02:44
303,57.18,2021-05-04,17:16:28
304,46.75,2021-05-04,17:14:26
305,49.25,2021-05-04,17:28:25
306,43.13,2021-05-04,17:34:49
307,44.5,2021-05-04,17:46:15
308,55.0,2021-05-04,18:04:29
309,52.0,2021-05-04,18:16:02
310,41.25,2021-05-04,18:02:08
311,47.58,2021-05-04,18:26:45
312,48.97,2021-05-04,18:38:03
313,50.85,2021-05-04,18:46:08
314,60.37,2021-05-04,19:16:44
315,51.6,2021-05-04,19:15:55
316,49.22,2021-05-04,19:25:04
317,49.98,2021-05-04,19:28:12
318,49.47,2021-05-04,19:58:07
319,48.5,2021-05-04,19:46:33
320,60.28,2021-05-04,20:16:46
321,44.12,2021-05-04,20:16:09
322,49.03,2021-05-04,20:12:14
323,30.92,2021-05-04,20:16:38
324,28.33,2021-05-04,20:16:53
325,18.98,2021-05-04,20:16:19
326,12.67,2021-05-04,20:16:33
